/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:95: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/grad_scaler.py:132: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:153: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/autocast_mode.py:265: UserWarning: User provided device_type of 'cuda', but CUDA is not available. Disabling
  warnings.warn(
/home/ymax29os/GANs/ams_project-2/transformer_GAN/transformer_model.py:174: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
Epoch [65/500] 	 Discriminator Loss: 0.0006 	 Generator Loss: 0.6472
Epoch [66/500] 	 Discriminator Loss: 0.0005 	 Generator Loss: 0.6605
Epoch [67/500] 	 Discriminator Loss: 0.0005 	 Generator Loss: 0.6713
Epoch [68/500] 	 Discriminator Loss: 0.0005 	 Generator Loss: 0.6779
Epoch [69/500] 	 Discriminator Loss: 0.0004 	 Generator Loss: 0.6863
Epoch [70/500] 	 Discriminator Loss: 0.0114 	 Generator Loss: 0.6837
Epoch [71/500] 	 Discriminator Loss: 0.0041 	 Generator Loss: 0.6164
Epoch [72/500] 	 Discriminator Loss: 0.0004 	 Generator Loss: 0.7058
Epoch [73/500] 	 Discriminator Loss: 0.0004 	 Generator Loss: 0.7217
Epoch [74/500] 	 Discriminator Loss: 0.0003 	 Generator Loss: 0.7404
Epoch [75/500] 	 Discriminator Loss: 0.0013 	 Generator Loss: 0.7404
Epoch [76/500] 	 Discriminator Loss: 0.0030 	 Generator Loss: 0.7179
Epoch [77/500] 	 Discriminator Loss: 0.0736 	 Generator Loss: 0.1020
Epoch [78/500] 	 Discriminator Loss: 0.0082 	 Generator Loss: 0.5004
Epoch [79/500] 	 Discriminator Loss: 0.0029 	 Generator Loss: 0.5831
Epoch [80/500] 	 Discriminator Loss: 0.0573 	 Generator Loss: 0.3836
Epoch [81/500] 	 Discriminator Loss: 0.0558 	 Generator Loss: 0.3049
Epoch [82/500] 	 Discriminator Loss: 0.0642 	 Generator Loss: 0.1873
Epoch [83/500] 	 Discriminator Loss: 0.0107 	 Generator Loss: 0.5329
Epoch [84/500] 	 Discriminator Loss: 0.0928 	 Generator Loss: 0.2587
Epoch [85/500] 	 Discriminator Loss: 0.0043 	 Generator Loss: 0.5785
Epoch [86/500] 	 Discriminator Loss: 0.1049 	 Generator Loss: 0.1903
Epoch [87/500] 	 Discriminator Loss: 0.0508 	 Generator Loss: 0.3064
Epoch [88/500] 	 Discriminator Loss: 0.0388 	 Generator Loss: 0.4088
Epoch [89/500] 	 Discriminator Loss: 0.0423 	 Generator Loss: 0.4045
Epoch [90/500] 	 Discriminator Loss: 0.0324 	 Generator Loss: 0.4932
Epoch [91/500] 	 Discriminator Loss: 0.0335 	 Generator Loss: 0.5164
Epoch [92/500] 	 Discriminator Loss: 0.0565 	 Generator Loss: 0.1867
Epoch [93/500] 	 Discriminator Loss: 0.0606 	 Generator Loss: 0.2893
Epoch [94/500] 	 Discriminator Loss: 0.1001 	 Generator Loss: 0.1161
Epoch [95/500] 	 Discriminator Loss: 0.0309 	 Generator Loss: 0.3797
Epoch [96/500] 	 Discriminator Loss: 0.0175 	 Generator Loss: 0.5241
Epoch [97/500] 	 Discriminator Loss: 0.0734 	 Generator Loss: 0.1121
Epoch [98/500] 	 Discriminator Loss: 0.0696 	 Generator Loss: 0.1711
Epoch [99/500] 	 Discriminator Loss: 0.0804 	 Generator Loss: 0.1000
Epoch [100/500] 	 Discriminator Loss: 0.1096 	 Generator Loss: 0.0506
Epoch [101/500] 	 Discriminator Loss: 0.0955 	 Generator Loss: 0.0595
Epoch [102/500] 	 Discriminator Loss: 0.0798 	 Generator Loss: 0.1365
Epoch [103/500] 	 Discriminator Loss: 0.0373 	 Generator Loss: 0.5436
Epoch [104/500] 	 Discriminator Loss: 0.0718 	 Generator Loss: 0.1366
Epoch [105/500] 	 Discriminator Loss: 0.1063 	 Generator Loss: 0.0638
Epoch [106/500] 	 Discriminator Loss: 0.1065 	 Generator Loss: 0.0871
Epoch [107/500] 	 Discriminator Loss: 0.0115 	 Generator Loss: 0.5817
Epoch [108/500] 	 Discriminator Loss: 0.0603 	 Generator Loss: 0.3436
Epoch [109/500] 	 Discriminator Loss: 0.0155 	 Generator Loss: 0.4576
Epoch [110/500] 	 Discriminator Loss: 0.1087 	 Generator Loss: 0.0870
Epoch [111/500] 	 Discriminator Loss: 0.0266 	 Generator Loss: 0.4890
Epoch [112/500] 	 Discriminator Loss: 0.0529 	 Generator Loss: 0.2370
Epoch [113/500] 	 Discriminator Loss: 0.1004 	 Generator Loss: 0.2199
Epoch [114/500] 	 Discriminator Loss: 0.0148 	 Generator Loss: 0.6048
Epoch [115/500] 	 Discriminator Loss: 0.0044 	 Generator Loss: 0.6349
Epoch [116/500] 	 Discriminator Loss: 0.0137 	 Generator Loss: 0.6124
Epoch [117/500] 	 Discriminator Loss: 0.2081 	 Generator Loss: 0.0999
Epoch [118/500] 	 Discriminator Loss: 0.0089 	 Generator Loss: 0.5762
Epoch [119/500] 	 Discriminator Loss: 0.0050 	 Generator Loss: 0.6053
Epoch [120/500] 	 Discriminator Loss: 0.0075 	 Generator Loss: 0.4917
Epoch [121/500] 	 Discriminator Loss: 0.0117 	 Generator Loss: 0.4794
Epoch [122/500] 	 Discriminator Loss: 0.0295 	 Generator Loss: 0.5392
Epoch [123/500] 	 Discriminator Loss: 0.0427 	 Generator Loss: 0.3942
Epoch [124/500] 	 Discriminator Loss: 0.0817 	 Generator Loss: 0.1269
Epoch [125/500] 	 Discriminator Loss: 0.0847 	 Generator Loss: 0.0895
Epoch [126/500] 	 Discriminator Loss: 0.0824 	 Generator Loss: 0.0927
Epoch [127/500] 	 Discriminator Loss: 0.0825 	 Generator Loss: 0.0974
Epoch [128/500] 	 Discriminator Loss: 0.0800 	 Generator Loss: 0.1113
Epoch [129/500] 	 Discriminator Loss: 0.0649 	 Generator Loss: 0.1488
Epoch [130/500] 	 Discriminator Loss: 0.0921 	 Generator Loss: 0.2445
Epoch [131/500] 	 Discriminator Loss: 0.0422 	 Generator Loss: 0.4346
Epoch [132/500] 	 Discriminator Loss: 0.0569 	 Generator Loss: 0.2341
Epoch [133/500] 	 Discriminator Loss: 0.0310 	 Generator Loss: 0.3240
Epoch [134/500] 	 Discriminator Loss: 0.0230 	 Generator Loss: 0.4283
Epoch [135/500] 	 Discriminator Loss: 0.0467 	 Generator Loss: 0.4106
Epoch [136/500] 	 Discriminator Loss: 0.0347 	 Generator Loss: 0.3833
Epoch [137/500] 	 Discriminator Loss: 0.0691 	 Generator Loss: 0.1620
Epoch [138/500] 	 Discriminator Loss: 0.0235 	 Generator Loss: 0.4032
Epoch [139/500] 	 Discriminator Loss: 0.0411 	 Generator Loss: 0.3268
