/home/ymax29os/ams_project-2/transformer_GAN/transformer_model.py:95: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/grad_scaler.py:132: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
/home/ymax29os/ams_project-2/transformer_GAN/transformer_model.py:112: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
/home/ymax29os/.local/lib/python3.9/site-packages/torch/amp/autocast_mode.py:265: UserWarning: User provided device_type of 'cuda', but CUDA is not available. Disabling
  warnings.warn(
/home/ymax29os/ams_project-2/transformer_GAN/transformer_model.py:128: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
Epoch [64/1000] 	 Discriminator Loss: 0.0718 	 Generator Loss: 0.1124
Epoch [65/1000] 	 Discriminator Loss: 0.0625 	 Generator Loss: 0.1350
Epoch [66/1000] 	 Discriminator Loss: 0.0727 	 Generator Loss: 0.1439
Epoch [67/1000] 	 Discriminator Loss: 0.0570 	 Generator Loss: 0.1408
Epoch [68/1000] 	 Discriminator Loss: 0.0810 	 Generator Loss: 0.1490
Epoch [69/1000] 	 Discriminator Loss: 0.0825 	 Generator Loss: 0.1947
Epoch [70/1000] 	 Discriminator Loss: 0.0978 	 Generator Loss: 0.1264
Epoch [71/1000] 	 Discriminator Loss: 0.0745 	 Generator Loss: 0.1635
Epoch [72/1000] 	 Discriminator Loss: 0.0703 	 Generator Loss: 0.1501
Epoch [73/1000] 	 Discriminator Loss: 0.0506 	 Generator Loss: 0.1406
Epoch [74/1000] 	 Discriminator Loss: 0.0323 	 Generator Loss: 0.2074
Epoch [75/1000] 	 Discriminator Loss: 0.0196 	 Generator Loss: 0.2881
Epoch [76/1000] 	 Discriminator Loss: 0.0141 	 Generator Loss: 0.3097
Epoch [77/1000] 	 Discriminator Loss: 0.0106 	 Generator Loss: 0.3624
Epoch [78/1000] 	 Discriminator Loss: 0.0076 	 Generator Loss: 0.4112
