f_x_sim,f_y_sim,f_z_sim,f_sp_sim,m_sp_sim,materialremoved_sim,a_x,a_y,a_z,a_sp,v_x,v_y,v_z,v_sp,pos_x,pos_y,pos_z,pos_sp,curr_x,curr_y,curr_z,curr_sp
0,0,0,0,0,0,-0.0025,0,0,0,0.0001,0,0,0,-0.303207,259.288044,444.405448,241.371649,0.297852,-5.244141,0.415039,0
0,0,0,0,0,0,-0.0025,0,-0.00125,-0.42875,5.00E-05,0,0,0,-0.303205,259.288044,444.405448,241.371649,0.297852,-5.244141,0.415039,0
0,0,0,0,0,0,-0.00125,0,0,0,0,0,-5.00E-05,-0.01715,-0.303205,259.288044,444.405448,241.371649,0.292969,-5.244141,0.415039,0
0,0,0,0,0,0,0,0,0.0025,0.42875,0,0,0,0,-0.303205,259.288044,444.405446,241.370963,0.297852,-5.244141,0.415039,0
0,0,0,0,0,0,0.00125,0,-0.00125,0,0,0,5.00E-05,0,-0.303205,259.288044,444.405448,241.371649,0.297852,-5.244141,0.415039,0
0,0,0,0,0,0,0.00125,0,-0.0025,0.42875,5.00E-05,0,-5.00E-05,0,-0.303205,259.288044,444.405448,241.370963,0.297852,-5.244141,0.415039,0
0,0,0,0,0,0,-0.00125,0.00125,0.00125,0,5.00E-05,0,-5.00E-05,0.01715,-0.303203,259.288044,444.405446,241.371649,0.297852,-5.244141,0.415039,0
0,0,0,0,0,0,-0.00125,0.00125,0.00125,-0.42875,0,5.00E-05,0,0,-0.303203,259.288044,444.405446,241.371649,0.297852,-5.244141,0.415039,0
0,0,0,0,0,0,0,-0.00125,0.00125,0.429375,0,5.00E-05,0,0,-0.303203,259.288046,444.405446,241.371649,0.292969,-5.244141,0.415039,0
0,0,0,0,0,0,0,-0.00125,0,0,0,0,5.00E-05,0.017175,-0.303203,259.288046,444.405446,241.371649,0.297852,-5.249023,0.415039,0
